data,país,confirmados,recuperados,fatalidades
2020-06-30,Greece,3409.0,1374.0,192.0
2020-06-30,Grenada,23.0,23.0,0.0
2020-06-30,Guatemala,18096.0,3194.0,773.0
2020-06-30,Guinea-Bissau,1654.0,317.0,24.0
2020-06-30,Guinea,5391.0,4326.0,33.0
2020-06-30,Guyana,245.0,114.0,12.0
2020-06-30,Haiti,5975.0,931.0,105.0
2020-06-30,Holy See,12.0,12.0,0.0
2020-06-30,Honduras,19558.0,2060.0,497.0
2020-06-30,Hungary,4155.0,2692.0,585.0
2020-06-30,Iceland,1842.0,1819.0,10.0
2020-06-30,India,585481.0,347912.0,17400.0
2020-06-30,Indonesia,56385.0,24806.0,2876.0
2020-06-30,Iran,227662.0,188758.0,10817.0
2020-06-30,Iraq,49109.0,24760.0,1943.0
2020-06-30,Ireland,25473.0,23364.0,1736.0
2020-06-30,Israel,25244.0,17341.0,320.0
2020-06-30,Italy,240578.0,190248.0,34767.0
2020-06-30,Jamaica,702.0,553.0,10.0
2020-06-30,Japan,18615.0,16458.0,972.0
2020-06-30,Jordan,1132.0,882.0,9.0
2020-06-30,Kazakhstan,22308.0,13558.0,188.0
2020-06-30,Kenya,6366.0,2039.0,148.0
2020-06-30,"Korea, South",12850.0,11613.0,282.0
2020-06-30,Kosovo,2878.0,1577.0,51.0
2020-06-30,Kuwait,46195.0,37030.0,354.0
2020-06-30,Kyrgyzstan,5506.0,2443.0,61.0
2020-06-30,Laos,19.0,19.0,0.0
2020-06-30,Latvia,1118.0,974.0,30.0
2020-06-30,Lebanon,1778.0,1183.0,34.0
2020-06-30,Lesotho,27.0,4.0,0.0
2020-06-30,Liberia,780.0,324.0,36.0
2020-06-30,Libya,824.0,209.0,24.0
2020-06-30,Liechtenstein,82.0,81.0,1.0
2020-06-30,Lithuania,1817.0,1515.0,78.0
2020-06-30,Luxembourg,4299.0,3998.0,110.0
2020-06-30,MS Zaandam,9.0,0.0,2.0
2020-06-30,Madagascar,2214.0,994.0,20.0
2020-06-30,Malawi,1224.0,260.0,14.0
2020-06-30,Malaysia,8639.0,8354.0,121.0
2020-06-30,Maldives,2361.0,1944.0,9.0
2020-06-30,Mali,2181.0,1474.0,116.0
2020-06-30,Malta,670.0,640.0,9.0
2020-06-30,Mauritania,4363.0,1622.0,129.0
2020-06-30,Mauritius,341.0,326.0,10.0
2020-06-30,Mexico,226089.0,174538.0,27769.0
2020-06-30,Moldova,16613.0,9382.0,545.0
2020-06-30,Monaco,103.0,95.0,4.0
2020-06-30,Mongolia,220.0,176.0,0.0
2020-06-30,Montenegro,548.0,315.0,12.0
2020-06-30,Morocco,12533.0,8920.0,228.0
2020-06-30,Mozambique,889.0,232.0,6.0
2020-06-30,Namibia,205.0,24.0,0.0
2020-06-30,Nepal,13564.0,3194.0,29.0
2020-06-30,Netherlands,50273.0,0.0,6113.0
2020-06-30,Netherlands,103.0,98.0,3.0
2020-06-30,Netherlands,7.0,7.0,0.0
2020-06-30,Netherlands,23.0,19.0,1.0
2020-06-30,Netherlands,77.0,62.0,15.0
